headX,headY,spineX,spineY,shoulder centerX,shoulder centerX,shoulder rightX,shoulder rightY,elbowRightX,elbowRightY,wristrightX,wristrightY,center angle
-0.05202477,0.411707,-0.06518361,-0.1269827,-0.06672083,0.2135332,0.1009385,0.1048575,0.1523251,-0.1118218,0.1896076,-0.3117836,26.4233966263946
-0.05007695,0.4114799,-0.06481112,-0.1271191,-0.06558503,0.2132085,0.103408,0.1064908,0.1540355,-0.1103685,0.1911205,-0.3102119,26.4154838348756
-0.04658706,0.4101029,-0.06148297,-0.1275747,-0.06096911,0.2122249,0.1084981,0.1072566,0.158322,-0.1098594,0.1924933,-0.3095096,26.3993070297849
-0.03794649,0.4085244,-0.05462016,-0.1278502,-0.05239039,0.2114176,0.1145258,0.1064364,0.1664944,-0.1094938,0.1965003,-0.3068282,26.737365626677
-0.03151669,0.4094868,-0.04744287,-0.1266792,-0.04543781,0.2110425,0.1255504,0.1060633,0.1761142,-0.1104457,0.2027314,-0.3036867,26.9401434290873
-0.02192915,0.4098103,-0.03901212,-0.1264315,-0.03848809,0.210595,0.1332053,0.105409,0.182804,-0.1114501,0.2093775,-0.3054647,26.5646013783192
-0.01355935,0.4091299,-0.03075945,-0.1266859,-0.02917359,0.2101848,0.1404069,0.1050137,0.189713,-0.1120473,0.2168258,-0.3074522,23.9052224432487
-0.006508083,0.4076084,-0.02370657,-0.1273466,-0.0216622,0.2101204,0.14758,0.1041347,0.1968011,-0.1126589,0.2242428,-0.3080299,23.9657427791365
0.0009552203,0.406097,-0.0175152,-0.1295336,-0.01459724,0.208198,0.1550921,0.1026459,0.2071994,-0.1128169,0.2305733,-0.3092173,23.9551173814836
0.007594288,0.4056641,-0.01147535,-0.1298978,-0.008842913,0.2072624,0.160848,0.102195,0.2122836,-0.1133936,0.2419567,-0.3099097,24.551142286237
0.01270301,0.4053735,-0.005107575,-0.1305232,-0.002983073,0.2068135,0.1647011,0.1016173,0.2144251,-0.1146375,0.2497815,-0.3134637,24.6374169489539
0.01622337,0.4048289,-0.0008657575,-0.1305067,0.003192391,0.2072262,0.1692415,0.1014548,0.2173001,-0.1154729,0.2586257,-0.3133299,25.3436449555007
0.01936077,0.4041643,0.002456211,-0.1300184,0.006341246,0.2072876,0.1734323,0.101256,0.2196358,-0.1163694,0.2595172,-0.3136106,25.0886996874683
0.02429013,0.4037279,0.005182604,-0.12931,0.009283887,0.2072942,0.1770855,0.1024775,0.227199,-0.1294481,0.2670368,-0.3006388,26.2959825403597
0.02577694,0.4027084,0.006999858,-0.1293902,0.01140706,0.2070319,0.1790654,0.1022071,0.2277292,-0.1395704,0.2697075,-0.3177715,25.6157283642544
0.02699024,0.402976,0.008101551,-0.129699,0.01283799,0.2067475,0.1802329,0.1022165,0.2299107,-0.146848,0.2712206,-0.3306921,25.2481470835201
0.02892626,0.4026282,0.008665347,-0.1301206,0.01338131,0.2063378,0.1810247,0.1015855,0.2314188,-0.1533006,0.2710148,-0.3420237,24.8000091728559
0.02857233,0.4026305,0.009173207,-0.1304774,0.01409195,0.2061768,0.1809022,0.1017577,0.2319004,-0.1578821,0.2692525,-0.3505698,23.6337360969702
0.0288312,0.4038311,0.009150892,-0.1307687,0.01318598,0.2063018,0.1802876,0.1015694,0.2320692,-0.1619272,0.2631319,-0.3585447,23.1177818577863
0.02834327,0.4038715,0.008746538,-0.1312745,0.01201693,0.2065543,0.1791104,0.1012006,0.2293318,-0.1612212,0.2529958,-0.3574973,22.1262481885949
0.02469455,0.4045786,0.007270035,-0.1313827,0.00987559,0.2070339,0.177182,0.1011966,0.2255625,-0.1602816,0.2496326,-0.355386,28.167652568299
0.02173132,0.4063253,0.004367933,-0.1316093,0.007286762,0.207856,0.1744797,0.1009513,0.2225924,-0.1592807,0.2433861,-0.3535263,27.7224911526376
0.01760069,0.4070665,0.001252715,-0.13223,0.00447135,0.2085215,0.1719275,0.1008694,0.2188448,-0.158365,0.2332272,-0.3518966,21.0330351998228
0.01407846,0.4076213,-0.002736769,-0.1326945,0.00122204,0.2086638,0.1678219,0.1007588,0.2163481,-0.1622492,0.2234038,-0.3585153,20.7280608801407
0.007909846,0.4081551,-0.00674617,-0.1329447,-0.002340755,0.2087816,0.163727,0.1012883,0.2141326,-0.1649792,0.2176974,-0.3635471,20.0113509836614
0.003727089,0.4082318,-0.01227964,-0.1334257,-0.006699791,0.2091755,0.1567393,0.1013128,0.2076904,-0.1680467,0.2052972,-0.3709788,19.1372814341419
0.0005671331,0.4087899,-0.01642678,-0.133618,-0.009908171,0.2095405,0.1530572,0.1011264,0.2013741,-0.1700453,0.2036825,-0.3748141,19.1499665526426
-0.005041971,0.4088893,-0.02093684,-0.1343372,-0.01640428,0.2090548,0.1471064,0.1015165,0.1955972,-0.1718148,0.1976507,-0.3778308,18.6868982016879
-0.009903305,0.4077487,-0.02446381,-0.134513,-0.02037521,0.2092253,0.142092,0.1009,0.1919387,-0.1739479,0.1907223,-0.3804561,18.5962956531138
-0.02207517,0.4072478,-0.02893265,-0.1346443,-0.02501515,0.20886,0.1393654,0.1019742,0.1807388,-0.1747791,0.1867177,-0.3831262,18.3920146274399
-0.02334146,0.4064798,-0.03240141,-0.1347947,-0.03058153,0.2085222,0.1340324,0.1029082,0.1744069,-0.1750216,0.1826297,-0.384519,17.3045821295064
-0.0261893,0.4070516,-0.0357388,-0.1346551,-0.03481491,0.2086044,0.1301804,0.1039152,0.169384,-0.1745319,0.1802325,-0.3854153,17.2073974669399
-0.03270198,0.4065098,-0.03846907,-0.1340738,-0.03807256,0.2088262,0.1270371,0.1052675,0.1572335,-0.1733729,0.1787708,-0.385657,17.1928576456551
-0.03792541,0.4070205,-0.04081351,-0.134163,-0.0413325,0.2087545,0.122063,0.1048915,0.1533429,-0.1711713,0.1761706,-0.3846467,17.0066535208859
-0.04062148,0.4062113,-0.04277939,-0.1335053,-0.04398786,0.2089734,0.120442,0.1062667,0.1504993,-0.1690825,0.1746691,-0.381714,17.6897393160338
-0.04203169,0.4062845,-0.04416623,-0.1328804,-0.04570018,0.2093143,0.1187523,0.1074889,0.1488766,-0.1676444,0.1717954,-0.3795178,17.3776699760664
-0.04345471,0.4059754,-0.04547442,-0.1326653,-0.04822502,0.2100831,0.1156691,0.1069164,0.1481025,-0.166846,0.1707609,-0.377987,17.3807637336476
-0.04509597,0.4051511,-0.04619311,-0.1325634,-0.0497367,0.2102684,0.1137149,0.1063714,0.1474937,-0.1666235,0.1696636,-0.3788271,16.644573323165
-0.04718658,0.4039763,-0.04673149,-0.1326614,-0.050818,0.2101257,0.1125436,0.1064993,0.1468259,-0.1659226,0.1698262,-0.3792463,16.6918581871268
-0.0471427,0.4037839,-0.04706682,-0.1325313,-0.05158742,0.2102501,0.112328,0.1065975,0.1466852,-0.165564,0.1703209,-0.3795271,16.7537733207356
-0.04791484,0.4033718,-0.04722618,-0.1324249,-0.05256095,0.2101393,0.1116468,0.1069802,0.1490023,-0.1652852,0.1715571,-0.3799977,17.4562949835229
-0.04848797,0.4033554,-0.04699172,-0.1322685,-0.05311757,0.2103314,0.111463,0.107609,0.1514645,-0.1647166,0.1729105,-0.380242,17.6897962021706
-0.048176,0.4049292,-0.04647937,-0.1317533,-0.05321886,0.2110728,0.1117528,0.1085688,0.1549518,-0.1648251,0.1783979,-0.3811001,17.9100504467372
-0.04929279,0.4044849,-0.04580107,-0.1308406,-0.05294802,0.2115764,0.1131639,0.1101002,0.1582638,-0.1639685,0.1788961,-0.3814353,17.8656221096647
-0.04888851,0.404638,-0.04483983,-0.1299527,-0.05139507,0.212071,0.1150014,0.1126783,0.1609755,-0.1633472,0.1811254,-0.3817711,17.9865258737302
-0.04781146,0.4060977,-0.04330263,-0.1292312,-0.04971118,0.2126645,0.1162449,0.1133452,0.1640404,-0.1636078,0.1831616,-0.382876,17.8895833118626
-0.04774766,0.4062091,-0.0420427,-0.128868,-0.04838922,0.2129181,0.117001,0.1140178,0.165315,-0.1639908,0.1845022,-0.3840511,17.9010558405221
